##SHEET:attacking_map
node_id|from_node_id|next_node_id|parent_action_id|position_family|recommended_followup_tree|is_terminal|edge_label|sort_order|priority_rank|start_position|role|your_action|partner_response|follow_up|end_position|outcome_type|success_condition|failure_risk|gi_no_gi|skill_level|priority|notes|key_details|common_mistakes|concept_tags|chain_family|energy_cost|video_ref_slot|counter_if_fails|reaction_tags|grip_tags
ST-011|ST-A-ankle-pick||ST-A-ankle-pick|standing||No|Partner weight on target foot → Pick ankle and drive|1|2|Standing / Neutral|Standing|Ankle pick|Partner weight on target foot|Pick ankle and drive|Top position|Takedown|Upper-body control loads lead foot|Foot removed or sprawl|Both|Blue|Medium|Often pairs with collar tie.|Collar tie + sleeve; drop level|Reaching without loading|level_change;weight_loading;tie_up|ankle_pick_chain|Low|VID-ST-011|Chain to single|R-WEIGHT-LOADED|G-COLLAR-TIE;G-SLEEVE
ST-012|ST-A-guard-pull|CG-ROOT|ST-A-guard-pull|standing|Closed Guard Tree|No|Partner follows to knees → Establish closed guard|1|2|Standing / Neutral|Standing|Guard pull|Partner follows to knees|Establish closed guard|Closed guard bottom|Guard entry|Grips maintained during pull|Immediate pass|Gi|White|Medium|Gi grips make entry safer.|Sit to hip not flat; hook thigh|Flat on back with no grips|grip_fighting;guard_retention|guard_pull_chain|Low|VID-ST-012|Recover with open guard|R-FOLLOWS-DOWN|G-COLLAR-SLEEVE
ST-013|ST-A-guard-pull|OG-ROOT|ST-A-guard-pull|standing|Open Guard Tree|No|Partner stays standing → Establish open guard grips|2|2|Standing / Neutral|Standing|Guard pull|Partner stays standing|Establish open guard grips|Open guard bottom|Guard entry|Feet frame hips/biceps|Torreando or leg drag|Gi|Blue|Medium|Transition to collar-sleeve/DLR.|Land on side; far foot on hip|Flat on back; both feet down|frames;grip_fighting;distance_management|guard_pull_chain|Medium|VID-ST-013|Tech stand-up to reset|R-STAYS-STANDING|G-COLLAR-SLEEVE
CG-001|CG-A-hip-bump-sweep|CG-ROOT|CG-A-hip-bump-sweep|guard_bottom|Closed Guard Tree|No|Partner posts hand → Kimura|1|1|Closed guard|Bottom|Hip bump sweep|Partner posts hand|Kimura|Closed guard attack|Submission threat|Posted hand within reach; angle|Partner postures and frees arm|Both|White|High|Classic hip bump/kimura pair.|Fig-4 wrist; angle 45; trap leg|Hips flat; no angle|angle;grip_fighting;arm_isolation|hip_bump_kimura_chain|Medium|VID-CG-001|Flow back to hip bump|R-POSTS-HAND|G-FIGURE-FOUR;G-WRIST-CONTROL
CG-002|CG-A-hip-bump-sweep|CG-ROOT|CG-A-hip-bump-sweep|guard_bottom|Closed Guard Tree|No|Partner drives forward → Guillotine|2|2|Closed guard|Bottom|Hip bump sweep|Partner drives forward|Guillotine|Closed guard attack|Submission threat|Head near centerline|Arm-in guillotine stacked|Both|Blue|Medium|Requires angle and high elbow.|Shrug shoulder; chest-to-chin; close guard|Flat; no angle; elbow low|angle;posture_breaking;neck_control|hip_bump_guillotine_chain|Medium|VID-CG-002|Release to hip bump|R-FORWARD-PRESSURE|G-GUILLOTINE-GRIP
CG-003|CG-A-hip-bump-sweep|MT-ROOT|CG-A-hip-bump-sweep|guard_bottom|Mount Top Tree|No|Partner does not post → Complete hip bump sweep|3|1|Closed guard|Bottom|Hip bump sweep|Partner does not post|Complete hip bump sweep|Mount top|Sweep|Opponent weight high; hands unavailable|Flattened back down|Both|White|High|Fundamental closed guard sweep.|Same-side post; grab tricep; shoulder drive|Bumping without shoulder drive|base_breaking;angle;posture_breaking|hip_bump_kimura_chain|Medium|VID-CG-003|Kimura or guillotine|R-NO-POST|G-TRICEP-GRIP
CG-004|CG-A-kimura-grip|MT-ROOT|CG-A-kimura-grip|guard_bottom|Mount Top Tree|No|Partner hides hand → Hip bump sweep|1|1|Closed guard|Bottom|Kimura grip|Partner hides hand|Hip bump sweep|Mount top|Sweep|Kimura grip controls shoulder line|Partner breaks grip|Both|White|High|Kimura threat makes sweep.|Elbow tight; pull shoulder across you|Elbow flare; arm-only pull|arm_isolation;base_breaking;angle|hip_bump_kimura_chain|Medium|VID-CG-004|Roll for kimura|R-HIDES-HAND|G-FIGURE-FOUR
CG-005|CG-A-kimura-grip|TERM-SUB|CG-A-kimura-grip|guard_bottom|End State: Submission|Yes|Partner straightens arm → Armbar|2|2|Closed guard|Bottom|Kimura grip|Partner straightens arm|Armbar|Armbar position|Submission|Elbow exposed; hips angle|Stack pass or arm slip|Both|Blue|Medium|Follow-up when kimura is defended.|Switch to wrist; leg over; pinch knees|Losing wrist control|arm_isolation;angle;hip_mobility|armbar_triangle_chain|Medium|VID-CG-005|Switch to triangle|R-STRAIGHTENS-ARM|G-WRIST-CONTROL
CG-006|CG-A-cross-collar-choke|CG-ROOT|CG-A-cross-collar-choke|guard_bottom|Closed Guard Tree|No|Partner postures back → Sit up / break posture|1|2|Closed guard|Bottom|Cross-collar choke|Partner postures back|Sit up / break posture|Closed guard|Control|Grips intact|Grip break|Gi|White|Medium|Basic choke control.|Deep thumb-in first; palm-down second|Shallow grip; flared elbows|grip_fighting;posture_breaking|collar_choke_chain|Medium|VID-CG-006|Use legs to break posture|R-POSTURE-UP|G-COLLAR-THUMB-IN;G-COLLAR-PALM-DOWN
CG-007|CG-A-cross-collar-choke|TERM-SUB|CG-A-cross-collar-choke|guard_bottom|End State: Submission|Yes|Partner drives forward → Angle to armbar|2|2|Closed guard|Bottom|Cross-collar choke|Partner drives forward|Angle to armbar|Armbar position|Submission|One arm posts|Stack defense|Gi|Blue|Medium|Choke pressure exposes arm.|Pivot off grip; leg across face|Letting go of choke early|angle;arm_isolation;grip_retention|collar_choke_chain|Medium|VID-CG-007|Triangle or omoplata|R-FORWARD-PRESSURE|G-COLLAR-THUMB-IN
CG-008|CG-A-armbar-from-guard|TERM-SUB-THREAT|CG-A-armbar-from-guard|guard_bottom|Submission Finish Subtree|No|Partner pulls arm out → Triangle|1|1|Closed guard|Bottom|Armbar from guard|Partner pulls arm out|Triangle|Triangle position|Submission threat|One arm in one out|Posture escape|Both|Blue|High|Armbar/triangle combo.|Hips toward free side; foot hip then neck|Crossed ankles; no angle|angle;arm_isolation;hip_mobility|armbar_triangle_chain|High|VID-CG-008|Flow to omoplata|R-PULLS-ARM-OUT|G-SLEEVE;G-WRIST-CONTROL
CG-009|CG-A-triangle|TERM-SUB-THREAT|CG-A-triangle|guard_bottom|Submission Finish Subtree|No|Partner stacks → Switch to armbar or omoplata|1|1|Closed guard|Bottom|Triangle|Partner stacks|Switch to armbar or omoplata|Submission position|Submission threat|Angle maintained under stack|Guard pass from stack|Both|Blue|High|Do not stay flat.|Walk hips to angle; pull head; fig-4|Square; crossed ankles|angle;head_control;hip_mobility|armbar_triangle_chain|High|VID-CG-009|Omoplata or flower|R-STACK|G-HEAD-CONTROL
CG-010|CG-A-triangle|MT-ROOT|CG-A-triangle|guard_bottom|Mount Top Tree|No|Partner postures before lock → Flower sweep|2|2|Closed guard|Bottom|Triangle|Partner postures before lock|Flower sweep|Mount top|Sweep|Arm controlled; posture extended|Opponent frees arm|Both|Blue|Medium|Fallback when finish lost.|Grab pant; chop across; lift near leg|No arm control during sweep|arm_isolation;base_breaking;angle|armbar_triangle_chain|Medium|VID-CG-010|Recover closed guard|R-POSTURE-UP|G-PANT-GRIP;G-SLEEVE
CG-011|CG-A-scissor-sweep|MT-ROOT|CG-A-scissor-sweep|guard_bottom|Mount Top Tree|No|Partner bases wide → Push/knee push sweep|1|2|Closed guard|Bottom|Scissor sweep|Partner bases wide|Push/knee push sweep|Mount or top guard|Sweep|Grips and shin shield active|Pass around to side|Gi|White|Medium|Common white-belt chain.|Shin across belly; pull sleeve/collar|Shin low; loose collar|base_breaking;grip_fighting;frames|scissor_push_chain|Medium|VID-CG-011|Push or flower sweep|R-WIDE-BASE|G-COLLAR-SLEEVE
CG-012|CG-A-arm-drag|BK-ROOT|CG-A-arm-drag|guard_bottom|Back Control Tree|No|Partner posts far hand → Climb to back|1|1|Closed guard|Bottom|Arm drag|Partner posts far hand|Climb to back|Back control|Back take|Arm across centerline; angle|Partner squares up|Both|Blue|High|High-value attack.|2-on-1 tricep; climb inside leg|Letting them square|two_on_one;angle;connection|back_take_chain|Medium|VID-CG-012|Recover guard|R-POSTS-HAND|G-TWO-ON-ONE;G-SEATBELT
CG-013|CG-A-overhook|CG-ROOT|CG-A-overhook|guard_bottom|Closed Guard Tree|No|Partner postures hard → Hip bump or omoplata|1|3|Closed guard|Bottom|Overhook|Partner postures hard|Hip bump or omoplata|Closed guard attack|Submission threat|Deep overhook palm-to-palm|Overhook stripped|Both|Blue|Low|Optional gym-dependent.|Shoulder to ear; elbow heavy|Loose overhook; elbow high|arm_isolation;posture_breaking|overhook_chain|Medium|VID-CG-013|Release to hip bump|R-POSTURE-UP|G-OVERHOOK;G-WRIST-CONTROL
OG-001|OG-A-collar-sleeve-control|TERM-SUB-THREAT|OG-A-collar-sleeve-control|guard_bottom|Submission Finish Subtree|No|Partner drives forward → Triangle|1|1|Open guard|Bottom|Collar-sleeve control|Partner drives forward|Triangle|Triangle position|Submission threat|Sleeve + foot on bicep/hip|Stack or leg drag|Gi|Blue|High|Core collar-sleeve attack.|Block bicep with foot; escape; throw leg|Letting them pass bicep|frames;grip_fighting;angle|collar_sleeve_chain|Medium|VID-OG-001|Transition to omoplata|R-FORWARD-PRESSURE|G-COLLAR-SLEEVE;G-FOOT-ON-BICEP
OG-002|OG-A-collar-sleeve-control|OG-ROOT|OG-A-collar-sleeve-control|guard_bottom|Open Guard Tree|No|Partner pulls backward → Tripod sweep|2|1|Open guard|Bottom|Collar-sleeve control|Partner pulls backward|Tripod sweep|Top open guard|Sweep|Foot on hip; ankle grip|Grips stripped|Gi|Blue|High|Forward/back dilemma.|Foot hip; grab ankle; extend|Grips not set before pull|base_breaking;grip_fighting;distance_management|collar_sleeve_chain|Medium|VID-OG-002|Sickle sweep|R-PULLS-AWAY|G-COLLAR-SLEEVE;G-ANKLE-GRIP;G-FOOT-ON-HIP
OG-003|OG-A-tripod-sweep|TOP-CONTROL-ROOT|OG-A-tripod-sweep|guard_bottom|Top Control Tree|No|Partner steps foot back → Sickle sweep|1|2|Open guard|Bottom|Tripod sweep|Partner steps foot back|Sickle sweep|Top position|Sweep|Far leg accessible|Opponent disengages|Both|White|Medium|Basic open guard pair.|Chop near leg; lift with hip foot|Sickle without ankle grab|base_breaking;angle|tripod_sickle_chain|Medium|VID-OG-003|Tech stand-up|R-STEPS-BACK|G-ANKLE-GRIP;G-FOOT-ON-HIP
OG-004|OG-A-de-la-riva-guard|TOP-CONTROL-ROOT|OG-A-de-la-riva-guard|guard_bottom|Top Control Tree|No|Partner pressures knee inward → Off-balance tripod/sickle|1|2|Open guard|Bottom|De la Riva guard|Partner pressures knee inward|Off-balance tripod/sickle|Top position|Sweep|DLR hook + sleeve/ankle|Knee cut pass|Gi|Blue|Medium|Simple DLR branch.|Deep hook behind knee; sleeve same side|Shallow hook; lost sleeve|frames;grip_fighting;angle|dlr_chain|Medium|VID-OG-004|Wrestle up|R-KNEE-IN|G-DLR-HOOK;G-SLEEVE;G-ANKLE-GRIP
OG-005|OG-A-de-la-riva-guard|ST-SINGLE-LEG|OG-A-de-la-riva-guard|guard_bottom|Standing Single-Leg Subtree|No|Partner turns knee outward → Wrestle-up|2|2|Open guard|Bottom|De la Riva guard|Partner turns knee outward|Wrestle-up|Single leg|Takedown chain|Ankle grip retained|Backstep pass|Gi|Blue|Medium|When hook weakens, wrestle up.|Post hand; chest-to-chest; finish single|Losing ankle grip|connection;grip_fighting|dlr_chain|High|VID-OG-005|Return to open guard|R-KNEE-OUT|G-DLR-HOOK;G-ANKLE-GRIP
OG-006|OG-A-single-leg-x-entry|TOP-CONTROL-ROOT|OG-A-single-leg-x-entry|guard_bottom|Top Control Tree|No|Partner stands tall → Elevate and sweep|1|2|Open guard|Bottom|Single-leg X entry|Partner stands tall|Elevate and sweep|Top position|Sweep|Foot placement controls hip/knee|Leg lock exposure|Both|Blue|Medium|Blue-friendly SLX.|Outside foot hip; inside shin behind knee|Giving up outside foot|frames;hip_mobility;angle|slx_chain|Medium|VID-OG-006|Come up to single|R-POSTURE-UP|G-FOOT-ON-HIP;G-ANKLE-GRIP
OG-007|OG-A-single-leg-x-entry||OG-A-single-leg-x-entry|guard_bottom||No|Partner strips foot from hip → Come up on single leg|2|2|Open guard|Bottom|Single-leg X entry|Partner strips foot from hip|Come up on single leg|Single-leg position|Takedown chain|Leg trapped as you rise|Leg freed|Both|Blue|Medium|Guard to wrestling.|Chest tight; climb knee to feet|Leg slides out|connection;grip_fighting|slx_chain|High|VID-OG-007|Recover DLR|R-STRIPS-FOOT|G-ANKLE-GRIP
OG-008|OG-A-omoplata-entry|SC-ROOT|OG-A-omoplata-entry|guard_bottom|Side Control Top Tree|No|Partner rolls forward → Follow to top|1|2|Open guard|Bottom|Omoplata entry|Partner rolls forward|Follow to top|Top side control|Sweep|Shoulder isolated|Scramble lost|Both|Blue|Medium|Take sweep if sub fails.|Sit up; trap hips; walk head|Finishing after they roll|arm_isolation;angle;hip_mobility|omoplata_chain|High|VID-OG-008|Recover guard|R-ROLLS-FORWARD|G-HIP-CONTROL
OG-009|OG-A-technical-stand-up|ST-ROOT|OG-A-technical-stand-up|guard_bottom|Standing Tree|No|Partner backs away → Stand to neutral|1|1|Open guard|Bottom|Technical stand-up|Partner backs away|Stand to neutral|Standing / Neutral|Reset|Distance created|Re-engagement during stand-up|Both|White|High|Safe reset skill.|Post hand + opposite foot; step back|Planting both hands|frames;distance_management;posture|reset_chain|Medium|VID-OG-009|Re-pull guard|R-PULLS-AWAY|G-NONE
OG-010|OG-A-knee-shield-open-guard||OG-A-knee-shield-open-guard|guard_bottom||No|Partner pressures forward → Frame and recover|1|1|Open guard|Bottom|Knee shield open guard|Partner pressures forward|Frame and recover|Closed or half guard|Guard retention|Frames on shoulder/hip|Flattened to side control|Both|White|High|Retention branch.|Shin across belt; hand bicep|Shin low; no bicep frame|frames;hip_escape;guard_retention|retention_chain|Medium|VID-OG-010|Recompose or stand|R-FORWARD-PRESSURE|G-BICEP-FRAME;G-KNEE-SHIELD
OG-011|OG-A-lasso-guard|TOP-CONTROL-ROOT|OG-A-lasso-guard|guard_bottom|Top Control Tree|No|Partner tries to pass → Off-balance to sweep|1|3|Open guard|Bottom|Lasso guard|Partner tries to pass|Off-balance to sweep|Top position|Sweep|Lasso deep + foot on hip|Stack or spin out|Gi|Blue|Low|Gym-dependent option.|Lasso under/over bicep; 2nd control|No second control point|frames;grip_fighting;arm_isolation|lasso_chain|High|VID-OG-011|Transition to DLR|R-FORWARD-PRESSURE|G-LASSO;G-SLEEVE;G-PANT-GRIP
HGB-001|HGB-A-knee-shield-to-underhook|HGB-DOGFIGHT|HGB-A-knee-shield-to-underhook|guard_bottom|Half Guard Dogfight Subtree|No|Partner gives underhook → Come to dogfight|1|1|Half guard bottom|Bottom|Knee shield to underhook|Partner gives underhook|Come to dogfight|Dogfight|Sweep/back chain|Inside underhook|Crossface flattens|Both|White|High|Core half-guard pathway.|Shrimp; underhook deep; come up|Flat before underhooking|underhook_fight;hip_escape;frames|half_guard_chain|High|VID-HGB-001|Recover knee shield|R-GIVES-UNDERHOOK|G-UNDERHOOK;G-KNEE-SHIELD
HGB-002|HGB-A-knee-shield-to-underhook|HGB-ROOT|HGB-A-knee-shield-to-underhook|guard_bottom|Half Guard Bottom Tree|No|Partner crossfaces hard → Recover frames|2|1|Half guard bottom|Bottom|Knee shield to underhook|Partner crossfaces hard|Recover frames|Half guard bottom|Recovery|Frame neck/shoulder|Flattened|Both|White|High|Defensive restart.|Forearm to jaw; shrimp; insert shin|No frame on crossface|frames;hip_escape;underhook_fight|half_guard_chain|Medium|VID-HGB-002|Recover full guard|R-CROSSFACE|G-BICEP-FRAME;G-NECK-FRAME
HGB-003|HGB-A-dogfight|HGT-ROOT|HGB-A-dogfight|guard_bottom|Top Half Guard Passing Tree|No|Partner whizzers → Old school sweep|1|1|Half guard bottom|Bottom|Dogfight|Partner whizzers|Old school sweep|Top half guard|Sweep|Far knee/ankle control|Whizzer flattens|Both|Blue|High|Classic dogfight branch.|Underhook deep; reach ankle; dive opposite|Shallow underhook|underhook_fight;base_breaking;angle|half_guard_chain|High|VID-HGB-003|Roll under to back|R-WHIZZER|G-UNDERHOOK;G-ANKLE-GRIP
HGB-004|HGB-A-dogfight|TOP-CONTROL-ROOT|HGB-A-dogfight|guard_bottom|Top Control Tree|No|Partner posts far hand → Back take or roll under|2|2|Half guard bottom|Bottom|Dogfight|Partner posts far hand|Back take or roll under|Back/sweep|Back take / sweep|Hip under opponent|Sprawled on|Both|Blue|Medium|Back take if overcommit.|Dive shoulder; roll; grab seatbelt|Rolling with no connection|underhook_fight;connection;angle|half_guard_chain|High|VID-HGB-004|Come up to single|R-POSTS-HAND|G-UNDERHOOK;G-SEATBELT
HGB-005|HGB-A-half-butterfly-hook|HGT-ROOT|HGB-A-half-butterfly-hook|guard_bottom|Top Half Guard Passing Tree|No|Partner pressures forward → Elevator sweep|1|2|Half guard bottom|Bottom|Half butterfly hook|Partner pressures forward|Elevator sweep|Top half guard|Sweep|Butterfly hook lifts|Hook smashed|Both|Blue|Medium|Good vs forward pressure.|Hook under thigh; underhook; extend|Hook shallow; arm outside|underhook_fight;base_breaking;frames|half_guard_chain|Medium|VID-HGB-005|Recover knee shield|R-FORWARD-PRESSURE|G-UNDERHOOK;G-HALF-BUTTERFLY
HGB-006|HGB-A-deep-half-entry|ST-SINGLE-LEG|HGB-A-deep-half-entry|guard_bottom|Standing Single-Leg Subtree|No|Partner bases wide → Out back door|1|3|Half guard bottom|Bottom|Deep half entry|Partner bases wide|Out back door|Single leg or top|Sweep|Hips underneath|Crossface/underhook control top|Both|Blue|Low|Optional gym-dependent.|Head to far hip; swim out back|Flat under weight|hip_mobility;base_breaking|deep_half_chain|High|VID-HGB-006|Recover half guard|R-WIDE-BASE|G-DEEP-HALF-HUG
HGB-007|HGB-A-underhook-half-guard|OG-ROOT|HGB-A-underhook-half-guard|guard_bottom|Open Guard Tree|No|Partner backs hips away → Recover full guard|1|2|Half guard bottom|Bottom|Underhook half guard|Partner backs hips away|Recover full guard|Closed/open guard|Recovery|Knee line cleared|Pass to side|Both|White|Medium|Best attack is recovery.|Frame neck; swim knee; close guard|Attacking when they back out|frames;hip_escape;guard_retention|retention_chain|Low|VID-HGB-007|Tech stand-up|R-PULLS-AWAY|G-UNDERHOOK;G-NECK-FRAME
HGT-001|HGT-A-crossface-and-underhook|SC-ROOT|HGT-A-crossface-and-underhook|passing_top|Side Control Top Tree|No|Partner stays flat → Free knee and pass|1|1|Top half guard|Top|Crossface and underhook|Partner stays flat|Free knee and pass|Side control top|Pass|Head control + underhook|Recovers knee shield|Both|White|High|Fundamental pass.|Crossface jaw; underhook deep; kick leg|Underhook without crossface|underhook_fight;head_control;pressure|half_pass_chain|High|VID-HGT-001|Backstep|R-FLAT|G-CROSSFACE;G-UNDERHOOK
HGT-002|HGT-A-crossface-and-underhook|SC-ROOT|HGT-A-crossface-and-underhook|passing_top|Side Control Top Tree|No|Partner turns to side → Backstep pass|2|2|Top half guard|Top|Crossface and underhook|Partner turns to side|Backstep pass|Side control/reverse half|Pass|Hips turn away|Leg entanglement|Both|Blue|Medium|Useful vs strong knee shield.|Step trapped leg back; hips over|Backstep w/o clearing underhook|angle;pressure;hip_mobility|half_pass_chain|High|VID-HGT-002|Reset crossface|R-TURNS-AWAY|G-CROSSFACE;G-UNDERHOOK
HGT-003|HGT-A-knee-cut-pass|SC-ROOT|HGT-A-knee-cut-pass|passing_top|Side Control Top Tree|No|Partner frames → Clear frame and crossface|1|1|Top half guard|Top|Knee cut pass|Partner frames|Clear frame and crossface|Side control top|Pass|Underhook/collar secured|Re-guarded|Both|White|High|Basic knee-cut fix.|Strip frame; crossface; knee across|Knee not fully across|frames;head_control;pressure|knee_cut_chain|High|VID-HGT-003|Switch to leg weave|R-FRAMES|G-CROSSFACE;G-COLLAR-GRIP
HGT-004|HGT-A-knee-cut-pass|HGT-ROOT|HGT-A-knee-cut-pass|passing_top|Top Half Guard Passing Tree|No|Partner underhooks → Whizzer and flatten|2|1|Top half guard|Top|Knee cut pass|Partner underhooks|Whizzer and flatten|Top half guard control|Control/pass|Whizzer blocks dogfight|Partner comes up|Both|Blue|High|Critical underhook counter.|Whizzer tight; hips down; walk to head|Light whizzer; high hips|underhook_fight;pressure;base|knee_cut_chain|High|VID-HGT-004|Backstep|R-GETS-UNDERHOOK|G-WHIZZER
HGT-005|HGT-A-leg-weave-pass|SC-ROOT|HGT-A-leg-weave-pass|passing_top|Side Control Top Tree|No|Partner keeps knee shield → Staple and circle|1|2|Top half guard|Top|Leg weave pass|Partner keeps knee shield|Staple and circle|Side control top|Pass|Control both knees/hips|Back take if weight high|Gi|Blue|Medium|Gi grips stabilize.|Weave arm; grab far collar/pants|Weave shallow; weight high|pressure;grip_fighting;angle|leg_weave_chain|High|VID-HGT-005|Switch to backstep|R-KNEE-SHIELD|G-PANT-GRIP;G-COLLAR-GRIP
HGT-006|HGT-A-mount-transition|MT-ROOT|HGT-A-mount-transition|passing_top|Mount Top Tree|No|Partner exposes far knee → Slide knee to mount|1|2|Top half guard|Top|Mount transition|Partner exposes far knee|Slide knee to mount|Mount top|Positional advance|Head control + underhook|Half guard recovery|Both|White|Medium|Mount when path is open.|Crossface; slide knee; low mount|Jumping w/o control|head_control;pressure|mount_advance_chain|Medium|VID-HGT-006|Settle side control|R-EXPOSES-KNEE|G-CROSSFACE;G-UNDERHOOK
SC-001|SC-A-americana|TERM-SUB|SC-A-americana|pin_top|End State: Submission|Yes|Partner bends arm → Finish Americana|1|2|Side control top|Top|Americana|Partner bends arm|Finish Americana|Submission|Submission|Elbow isolated near mat|Arm straightens|Both|White|Medium|Basic side-control attack.|Paint palm; fig-4; lift elbow|Pulling wrist w/o lifting|arm_isolation;pressure|americana_chain|Medium|VID-SC-001|Switch to straight armbar|R-BENDS-ARM|G-FIGURE-FOUR;G-WRIST-CONTROL
